title,genre,director,rating
Dhoom:3,"When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",Vijay Krishna Acharya,5.3
Sultan,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",Ali Abbas Zafar,7.0
Fan,"Gaurav develops an obsession with a movie star who looks just like him. He goes to Bombay to meet his idol, but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero.",Maneesh Sharma,6.9
Udaan,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vikramaditya Motwane,8.1
Pink,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Aniruddha Roy Chowdhury,8.1
Raees,A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,Rahul Dholakia,6.7
Rockstar,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",Imtiaz Ali,7.7
Yeh Jawaani Hai Deewani,"Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",Ayan Mukherjee,7.2
Om Shanti Om,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",Farah Khan,6.7
Tumbbad,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Rahi Anil Barve,8.2
Talaash,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",Reema Kagti,7.2
Devdas,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",Sanjay Leela Bhansali,7.5
Gehraiyaan,Takes you on a journey into the deep rooted intricacies of modern human relationships.,Shakun Batra,6.2
Antim: The Final Truth,The cop played by Salman fights the land mafia in the film.,Mahesh Manjrekar,6.9
Dhamaka,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.",Ram Madhvani,7.3
Sardar Udham,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,8.5
Dear Zindagi,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",Gauri Shinde,7.4
Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,Zoya Akhtar,7.9
Ludo,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",Anurag Basu,7.6
Mimi,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,Rajesh Bhatia,7.9
Don,"Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",Farhan Akhtar,7.1
Happy New Year,A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,Farah Khan,4.9
Kai po che!,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Abhishek Kapoor,7.7
Paan Singh Tomar,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Tigmanshu Dhulia,8.2
Main Hoon Na,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Farah Khan,7.0
Talvar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Meghna Gulzar,8.1
Black,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",Sanjay Leela Bhansali,8.1
Gunjan Saxena: The Kargil Girl,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,Sharan Sharma,5.5
Toofaan,The story of a boxer and the struggles he faces on his journey to get to the national level competition.,Rakeysh Omprakash Mehra,5.7
Bajirao Mastani,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",Sanjay Leela Bhansali,7.2
Dilwale,"The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",Rohit Shetty,5.0
Ek Tha Tiger,India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,Kabir Khan,5.5
Bachchhan Paandey,A budding director tries to research a merciless gangster for making a film on gangster-ism. But her secret attempts to conduct the research fail when she gets caught for snooping.,Farhad Samji,5.9
83,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",Kabir Khan,7.5
Badhaai ho,A man is embarrassed when he finds out his mother is pregnant.,Amit Ravindernath Sharma,8.0
Anand,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Hrishikesh Mukherjee,8.1
Stree,"In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",Amar Kaushik,7.5
Thappad,Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?,Anubhav Sinha,7.2
Fanaa,A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,Kunal Kohli,7.1
